NID	CHN	ETCM	TCMID	SYM	TCMSP	PINYIN	LATIN	TYPE	FAMILY_CHN	FAMILY_ENG	Specifications	Property_CHN	Property_Eng	Flavor_CHN	Flavor_ENG	Meridian_Tropism_CHN	Meridian_Tropism_ENG	Indication_CHN	Indication_ENG	English_Name	Class_Chinese	UsePart	Syndromes	itcm
822	亚麻子	yc_356	TCMID_H_6529	SMHB00450	450	YA MA ZI	Linum usitatissimum L.	Plant medicine	亚麻科	Linaceae		平	Neutral	甘	sweet	肺,肝,大肠	Lung, liver, large intestine	润燥,通便,养血,祛风	Moisturizing, laxative, nourishing blood, dispelling wind					itcm_h_822
823	胡黄莲		TCMID_H_3706			HU HUANG LIAN	Picrorhiza kurrooa	Plant medicine	车前科	Plantaginaceae		寒	Cold	苦	Bitter	大肠，胃，肝，心	Large Intestine,Stomach,Liver,Heart	降虚热、除肝热、清热燥湿、泻火解毒。	To lower vacuity heat, eliminate gan  fever, clear heat and dry damp, drain fire and resolve toxin.			rhizome	Steaming bone tidal fever due to yin vacuity, night sweating, child  gan accumulation, indigestion, abdominal distention and emaciation, dysentery, fever, gastrointestinal damp-heat diarrhea, hemorrhoids.	itcm_h_823
824	天冬	yc_312	TCMID_H_1369	SMHB00391	391	TIAN DONG	Asparagus cohinchinensis ( Lour. )Merr.	Plant medicine	百合科	Liliaceae		寒	Cold	甘,苦	sweet,bitter	肺,肾	Lung, kidney	养阴,润燥,清肺,生津						itcm_h_824
825	青天葵		TCMID_H_5466			QING TIAN KUI	Herba Nerviliae	Plant medicine	兰科	Orchidaceae								1清热解毒。适用于皮肤感染的强热型、疥螨、暑热证、发热口渴、淋巴结肿大。2润肺止咳。治热咳、燥咳。	1. To clear heat and toxic material. For skin infection of intense heat type, sorethroat, summer-heat syndrome with fever and thirst, scrofula. 2. To moisturize the lung to relieve cough. For cough of heat type and dryness type.					itcm_h_825
826	小黄花菜		TCMID_H_8032			XIAO HUANG HUA CAI		Plant medicine	阿福花科	Asphodelaceae														itcm_h_826
827	潼蒺藜		TCMID_H_7979			TONG JI LI	Semen Astragali Complanati	Plant medicine	豆科	Fabaceae		温	Warm	甘	Sweet	肝，肾	Liver,Kidney	治疗肾虚、尿浊、白带过多、尿后滴漏、头晕、视力模糊的腰痛、遗精、遗精。	Treatment of back pain, nocturnal emission and premature ejaculation in deficiency syndromes of the kidney, turbid discharge with urination, excessive leukorrhea, dribbling of urine after urination, dizziness and blurred vision.					itcm_h_827
828	秦蒿		TCMID_H_7809			QIN HAO		Plant medicine																itcm_h_828
829	闹羊花	yc_238	TCMID_H_5827	SMHB00300	300	NAO YANG HUA	Rhododendron molle G.Don	Plant medicine	杜鹃花科	Ericaceae		温	Warm	辛	pungent	肝	liver	祛风,除湿,散瘀,定痛	Dispel wind, remove dampness, dispel blood stasis, relieve pain					itcm_h_829
830	青蒿	yc_260	TCMID_H_7616	SMHB00329	329	QING HAO	Artemisia annua L.	Plant medicine	菊科	Compositae		寒	Cold	苦,辛	bitter,pungent	肝,胆	Liver, gallbladder	清虚热,除骨蒸,解暑热,截疟,退黄	To clear deficiency and heat, to remove bones and steam, to relieve summer heat, to cut malaria, to relieve yellow					itcm_h_830
831	淡竹叶	yc_74	TCMID_H_6686			DAN ZHU YE	Lophatherum gracile Brongn.	Plant medicine	禾本科	Gramineae		寒	Cold	甘	sweet	心,胃,小肠	Heart, stomach, small intestine	清心火,除烦热,利小便	To clear the heart, relieve irritability and heat, and facilitate urination					itcm_h_831
832	枳壳	yc_387	TCMID_H_5777	SMHB00485	485	ZHI QIAO	Citrus aurantium L.	Plant medicine	芸香科	Rutaceae		寒	Cold	苦,辛,酸	bitter,pungent,sour	脾,胃	Spleen, stomach	理气,宽中,行滞,消胀	Regulate the qi, broaden the middle, move stagnation, reduce swelling					itcm_h_832
833	龙齿		TCMID_H_2928			LONG CHI	Dens Draconis	animal medicine(including insect)				凉	Cool			大肠、肝、心、肾	Large Intestine,Liver,Heart,Kidney							itcm_h_833
834	寒食		TCMID_H_1695			HAN SHI	Massa Hanshi Fermentata	Plant medicine				寒	Cold	辛,苦	Pungent,Bitter	肺，肾	Lung,Kidney							itcm_h_834
835	鸦片		TCMID_H_7006			YA PIAN	Papaver somniferum	Plant medicine	罂粟科	Papaveraceae								止痛、收敛肠胃、止咳。	To relieve pain, astringe intestines, suppress cough.			latex from unripe capsules	Pain in heart and abdomen, chronic diarrhea, chronic dysentery, dry cough without phlegm.	itcm_h_835
836	黄花蒿		TCMID_H_4229			HUANG HUA HAO	Artemisia annua	Plant medicine	菊科	Asteraceae								清热，消暑，除蒸，阻断疟疾。	To clear heat, resolve summerheat, eliminate steam, interrupt malaria.			whole herb	Summerheat-heat, summerheat-damp, damp warmth, yin vacuity fever, malaria, jaundice.	itcm_h_836
837	紫藤子		TCMID_H_3470			ZI TENG ZI	Wisteria sinensis	Plant medicine	豆科	Fabaceae								活血通络，解毒，杀虫。	To quicken blood and free network vessels, resolve toxin, kill worms.			seed	Pain in sinews and bones, vomiting diarrhea with abdominal pain, child oxyuria disease.	itcm_h_837
838	白刺花叶		TCMID_H_1816			BAI CI HUA YE		Plant medicine																itcm_h_838
839	茄根		TCMID_H_6592	SMHB00323	323	Qie Gen	Radix Solani melongee	Plant medicine				凉	Cool	甘	Sweet	脾、大肠、胃	Spleen,Large Intestine,Stomach			root of Garden Eggplant	祛风湿清热药			itcm_h_839
840	桂枝	yc_120	TCMID_H_3977	SMHB00155	155	GUI ZHI	Cinnamomum cassia Presl	Plant medicine	樟科	Lauraceae		温	Warm	辛,甘	pungent,sweet	心,肺,膀胱	Heart, lung, bladder	发汗,解肌,温通经脉,助阳,化气,平冲,降气	Sweat, relieve muscles, warm and clear meridians, help yang, dissipate qi, calm down, lower qi					itcm_h_840
841	瓜篓皮		TCMID_H_2296			GUA LOU PI	Pericarpium Trichosanthis	Plant medicine				寒	Cold	甘,微苦	Sweet,Slightly Bitter	肺、大肠、胃	Lung,Large Intestine,Stomach	痰黄黏、胸闷、肋痛咳嗽的治疗。	Treatment of cough with yellowish sticky expectoration, oppressed feeling in the chest and costal pain.					itcm_h_841
842	藜芦		TCMID_H_3886			LI LU	Veratrum nigrum	Plant medicine	藜芦科	Melanthiaceae		寒	Cold	辛,苦	Pungent,Bitter	肺、胃、肝	Lung,Stomach,Liver	促进呕吐、祛风化痰、降血压、杀虫。	To promote vomiting, dispel wind and transform phlegm, lower blood pressure, kill worms.			root and rhizome	Wind stroke with congesting phlegm, epilepsy, malaria, scab and lichen, malign sore.	itcm_h_842
843	竹叶心		TCMID_H_5663			ZHU YE XIN	Gemma Lophatheri	Plant medicine				寒	Cold	辛,甘,平	Pungent,Sweet,Neutral	胃、小肠、心	Stomach,Small Intestine,Heart							itcm_h_843
844	金腰草		TCMID_H_7911			JING YAO CAO	Herba Chrysosplenii	Plant medicine																itcm_h_844
845	大附皮		TCMID_H_4986			DA FU PI	Pericarpium Arecae	Plant medicine				小温	Slight Warm	辛	Pungent	脾、大肠、胃、小肠	Spleen,Large Intestine,Stomach,Small Intestine	治疗以上腹胀、排便困难、腿浮肿、少尿为特征的湿蕴气滞。	Treatment of stagnation of qi due to accumulation of damp marked by epigastric and abdominal distension, difficult evacuation of the feces, edema of the legs and oliguria.				Its decoction exerts an effect of enhancing the intestinal tensity and decreasing the extent of intestinal contraction in rabbits in vitro, which can be counteracted by atropine.	itcm_h_845
846	海金沙	yc_122	TCMID_H_4783	SMHB00157	157	HAI JIN SHA	LygoJiun japonicum(Thunb. )Sw.	Plant medicine	海金沙科	Lygodiaceae		寒	Cold	甘,咸	sweet,salty	膀胱,小肠	Bladder, small intestine	清利,湿热,通淋,止痛	Clear benefits, damp heat, drenching, relieve pain					itcm_h_846
847	木鳖子	yc_230		SMHB00287	287	MU BIE ZI	Momordica cochinchinensis (Lour. ) Spreng.	Plant medicine	葫芦科	Cueurbitaceae		凉	Cool	苦,甘	bitter,sweet	肝,脾,胃	Liver, spleen, stomach	散结,消肿,攻毒,疗疮	To dissipate knots, reduce swelling, fight toxins, treat sores					itcm_h_847
848	肉苁蓉	yc_268	TCMID_H_1883	SMHB00338	338	ROU CONG RONG	Cistanche deserticola Y.C. Ma;Cistanche tubulosa (Schrenk) Wight	Plant medicine	列当科	Orobanchaceae		温	Warm	甘,咸	sweet,salty	肾,大肠	Kidney, large intestine	补肾阳,益精血,润肠,通便	Nourish kidney yang, nourish essence and blood, moisturize the intestines, laxative					itcm_h_848
849	野核桃仁		TCMID_H_7779			YE HE TAO REN		Plant medicine																itcm_h_849
850	牡蒿		TCMID_H_2789			MU HAO	Artemisia japonica	Plant medicine	菊科	Asteraceae								清热凉血，解毒。	To clear heat, cool blood, resolve toxin.			whole herb	Summer common cold, tuberculosis tidal fever, hemoptysis, child  gan  fever, spontaneous external bleeding, hematochezia, flooding and spotting, vaginal discharge, icterohepatitis, erysipelas, poisonous snake bite.	itcm_h_850
851	苏木	yc_304	TCMID_H_4597			SU MU	Caesalpinia sappan L.	Plant medicine	豆科	Leguminosae		平	Neutral	甘,咸	sweet,salty	心,肝,脾	Heart, liver, spleen	活血,祛瘀,消肿,止痛	Invigorate blood, remove blood stasis, reduce swelling, relieve pain					itcm_h_851
852	三七叶		TCMID_H_3617			SAN QI YE		Plant medicine																itcm_h_852
853	海藻		TCMID_H_3646	SMHB00159	159	Hai Zao	Sargassum	Plant medicine				寒	Cold	咸	Salty	胃，肾	Stomach,Kidney	软化硬结，化痰散结，利尿。	To soften indurated mass, to eliminate phlegm and dissipate modulation, and to induce diuresis.	seaweed	化痰药			itcm_h_853
854	僵蛹		TCMID_H_4453			JIANG YONG		animal medicine(including insect)				平	Neutral	辛,咸	Pungent,Salty	肺，肝	Lung,Liver							itcm_h_854
855	煅龙牡		TCMID_H_995			DUAN LONG MU		Plant medicine																itcm_h_855
856	白花甘西鼠尾草		TCMID_H_3249			BAI HUA GAN XI SHU WEI CAO		Plant medicine	唇形科	Lamiaceae														itcm_h_856
857	老鹳草	yc_192	TCMID_H_1592	SMHB00235	235	LAO GUAN CAO	Erodium stephanianumWilld.;Geranium wilfordii Maxim.;Geranium carolinianum L.	Plant medicine	牻牛儿苗科	Geraniaceae		平	Neutral	辛,苦	pungent,bitter	肝,肾,脾	Liver, kidney, spleen	祛风湿,通经络,止泻瘌	Dispel rheumatism, clear meridians, stop diarrhea and diarrhea					itcm_h_857
858	竹沥		TCMID_H_3834	SMHB00491	491	Zhu Li	Succus Bambusae	Plant medicine				寒	Cold	甘	Sweet	肺、肝、心	Lung,Liver,Heart	清热化痰	To clear heat and resolve phlegm	Bamboo juice	清热解毒药			itcm_h_858
859	莲子	yc_196	TCMID_H_6604			LIAN ZI	Nelumbo nucifera Gaertn.	Plant medicine	睡莲科	Nymphaeaceae		平	Neutral	甘	sweet	脾,肾,心	Spleen, kidney, heart	补脾,止泻,止带,益肾,涩精,养心,安神	Nourish the spleen, stop diarrhea, stop band, nourish the kidney, astringent essence, nourish the heart, soothe the nerves					itcm_h_859
860	松蕈		TCMID_H_8075			SONG XUN	Tricholoma matsutake [Syn. Armillaria matsutake]	Plant medicine										疏经活络，理气化痰，祛湿化浊。	To soothe channels and quicken network vessels, rectify  qi  and transform phlegm, disinhibit damp and transform turbidity.			sporocarp	Pain in lumbus and legs, incessant urinary turbidity, numbness in limbs, hypertonicity of sinews and vessels, abundant phlegm and shortness of breath.	itcm_h_860
861	绿绒蒿		TCMID_H_5201			LV RONG HAO	herba meconpsis integrifoliae	Plant medicine				小温	Slight Warm	苦	Bitter,	肝，肾	Liver,Kidney							itcm_h_861
862	厚朴花		TCMID_H_6468			HOU PU HUA	Flos Magnoliae Offcinalis	Plant medicine										治疗胸闷腹胀伴食欲不振。	Treatment of feeling of stuffiness and distension in the chest and epigastrium with loss of appetite.					itcm_h_862
863	松花粉			SMHB00382	382	Song Hua Fen		Plant medicine												Pine Pollen	收敛止血药			itcm_h_863
864	平贝母	yc_247	TCMID_H_7995	SMHB00311	311	PING BEI MU	Fritillaria ussuriensis Maxim.	Plant medicine	百合科	Liliaceae		寒	Cold	苦,甘	bitter,sweet	肺,心	Lung, heart	清热,润肺,化痰,止咳	Clear heat, moisturize lungs, resolve phlegm, relieve cough					itcm_h_864
865	泡桐花		TCMID_H_7850			PAO TONG HUA		Plant medicine																itcm_h_865
866	海棠果		TCMID_H_7464			HAI TANG GUO	Calophyllum inophyllum	Plant medicine	红厚壳科	Calophyllaceae								祛瘀止痛。	To dispel stasis and relieve pain.			root and leaf	Wind-damp pain, knocks and falls, dysmenorrhea, bleeding due to external injury.	itcm_h_866
867	胎盘粉		TCMID_H_4194			TAI PAN FEN	Pulvis Embryo	animal medicine(including insect)				温	Warm	甘,咸	Sweet,Salty	肺、心、肾	Lung,Heart,Kidney							itcm_h_867
868	柚叶		TCMID_H_3791			YOU YE		Plant medicine																itcm_h_868
869	红车轴草		TCMID_H_4327			HONG CHE ZHOU CAO	Trifolium pratense	Plant medicine	豆科	Fabaceae								清热止咳，散结消肿。	To clear heat and relieve cough, dissipate binds and disperse swelling.			flower and inflorescence	Common cold, cough and asthma, hard swelling, burns.	itcm_h_869
870	甘薯		TCMID_H_4022			GAN SHU	Ipomoea batatas [Syn. Convolvulus batatas]	Plant medicine	旋花科	Convolvulaceae								补中和血，益气生液，疏通肠胃，通便。	To supplement center and harmonize blood, boost  qi  and engender liquid, loosen intestines and stomach, free stool.			tuberoid	Spleen vacuity edema, constipation, toxin swelling of sores.	itcm_h_870
871	三七	yc_275	TCMID_H_2443	SMHB00346	346	SAN QI	Panax notoginseng (Burk.) F. H. Chen	Plant medicine	五加科	Araliaceae		温	Warm	甘,苦	sweet,bitter	肝,胃	Liver, stomach	散瘀,止血,消肿,定痛	Dispel blood stasis, stop bleeding, reduce swelling, relieve pain					itcm_h_871
872	当药	yc_76				DANG YAO	Swertia pseudochinensis Hara	Plant medicine	龙胆科	Gentianaceae		寒	Cold	辛,苦	pungent,bitter	肺	lung	降气,消痰,止咳	Reduce qi, eliminate phlegm, relieve cough					itcm_h_872
873	娃儿藤		TCMID_H_3958			WA ER TENG	Tylophora floribunda	Plant medicine	夹竹桃科	Apocynaceae								祛风化痰，活血止痛，解毒消肿。	To dispel wind and transform phlegm, quicken blood and relieve pain, resolve toxin and disperse swelling.			root	Infant fright wind, wind-damp impediment pain, cough and asthma with abundant phlegm, diphtheria, knocks and falls, fracture, poisonous snake bite, swollen welling abscess, sore and boil, red eyes, stomatitis, liver spleen enlargement.	itcm_h_873
874	冬瓜皮	yc_87	TCMID_H_7236	SMHB00109	109	DONG GUA PI	Benincasa hispida ( Thunb. ) Cogn.	Plant medicine	葫芦科	Cueurbitaceae	以片薄、条长，色灰绿、有粉霜者为佳	凉	Cool	甘	sweet	脾,小肠	Spleen, small intestine	利尿,消肿	Diuresis, swelling					itcm_h_874
875	薏苡仁	yc_367	TCMID_H_2186	SMHB00458	458	YI YI REN	Coix lacryma-jobi L. var. mayuen. (Roman.) Stapf	Plant medicine	禾本科	Gramineae		凉	Cool	甘	sweet	脾,胃,肺	Spleen, stomach, lung	利水,渗湿,健脾,止泻,除痹,排脓,解毒,散结	Diuresis, dampness, invigorating spleen, antidiarrhea, removing paralysis, draining pus, detoxification, dispelling lumps					itcm_h_875
876	北五味子			SMHB00041	41	Bei Wu Wei Zi		Plant medicine	五味子科	Schisandraceae										Schisandrae Chinensis Fructus	收涩药			itcm_h_876
877	千日红		TCMID_H_7407	SMHB00317	317	Qian Ri Hong	Flos Gomphree	Plant medicine	苋科	Amaranthaceae										flower of Globeamaranth	止咳平喘药	inflorescence or herb		itcm_h_877
878	川续断		TCMID_H_6885			CHUAN XU DUAN	Dipsacus asperoides	Plant medicine	忍冬科	Caprifoliaceae		小温	Slight Warm	辛,甘,苦	Pungent,Sweet,Bitter	肝，肾	Liver,Kidney	补益肝肾，强健筋骨、关节骨，检查泛水和斑点。	To supplement liver and kidney, strengthen sinews and bones, joint bones, check flooding and spotting.			root	Limp aching lumbus and knees, wind-damp impediment pain, flooding and spotting, profuse menstruation, fetal bleeding, knocks and falls.	itcm_h_878
879	枳根皮		TCMID_H_4500			ZHI GEN PI	Poncirus trifoliata	Plant medicine	芸香科	Rutaceae								止血止痛。	To constrain blood, relieve pain.			root cortex	Toothache, hemorrhoids, hematochezia.	itcm_h_879
880	花生油		TCMID_H_2897			HUA SHENG YOU		Plant medicine																itcm_h_880
881	草乌	yc_44	TCMID_H_1767	SMHB00055	55	CAO WU	Aconitum kusnezoffii Reichb.	Plant medicine	毛茛科	Ranunculaceae	以疙瘩、质坚实、断面灰白色者为佳	热	Hot	苦,辛	bitter,pungent	心,肝,脾	Heart, liver, spleen	消肿,止痛,温经,散寒,祛风,除湿						itcm_h_881
882	苏合香	yc_303	TCMID_H_5422	SMHB00385	385	SU HE XIANG	Liquidambar orientalis Mill.	Plant medicine	金缕梅科	Hamamelidaceae		温	Warm	辛	pungent	心,脾	Heart, spleen	开窍,辟秽,止痛	Resuscitation, cleanse, relieve pain					itcm_h_882
883	臧红花		TCMID_H_7949			ZANG HONG HUA	Crocus sativus	Plant medicine	鸢尾科	Iridaceae								活血化瘀，消郁开窍。	To quicken blood and transform stasis, dissipate depression and open binds.			stigma	Anxiety and depression, glomus and oppression in chest and diaphragm, blood ejection, cold damage mania, fright palpitation, amenorrhea, postpartum blood stasis abdominal pain, painful swelling from knocks and falls.	itcm_h_883
884	阳桃		TCMID_H_7385			YANG TAO	Averrhoa carambola	Plant medicine	酢浆草科	Oxalidaceae								清热、生液、解尿、解毒。	To clear heat, engender liquid, disinhibit urine, resolve toxin.			fruit	Wind-heat cough, sore pharynx, vexation and thirst, stone strangury, oral putrescence, toothache, malaria with splenomegaly, resolve liquor toxin.	itcm_h_884
885	生军		TCMID_H_1676			SHENG JUN	Radix et Rhizoma Rhei	Plant medicine				寒	Cold	苦	Bitter	大肠、胃、肝	Large Intestine,Stomach,Liver	治疗便秘发热、大便潴留、腹痛、痢疾、湿热黄疸、呕血、鼻出血、血热眼肿、腹痛阑尾炎、疖疮脓肿，血瘀闭经，外伤，上消化道出血。烫伤外用伯恩斯。拉迪克塞特大黄（酒炒）眼睛发炎，喉咙肿大，牙龈肿痛。大黄（制）有疖、疮、脓肿。大黄（炭化）血瘀血瘀。	Treatment of fever with constipation, retention of the feces and abdominal pain, dysentery with inadequate discharge from the bowels, jaundice caused by damp-heat, haematemesis, epistaxis, inflammation of eye and swelling of the throat due to heat in the blood, appendicitis with abdominal pain, boils, sores and abscess, amenorrhea due to blood stasis, traumatic injuries, hemorrhage from the upper gastrointestinal tract. External use for scalds and burns.Radixet Rhizoma Rhei (stir-fried with wine)  Inflammation of the eye, swelling of the throat and painful swelling of the gums.  Radix et Rhizoma Rhei (prepared) Boils, sores and abscess.  Radix et Rhizoma Rhei (carbonized) Hemorrhage with blood stasis due to heat in the blood.				1. Sennoside A is the component for purgation.2. Promoting biliary secretion and enhancing the amount of bilirubin and bile acid.3. Rhein and Emodin exert bacteriostatic effect by inhibting the synthesis of DNA, RNA and protein in bacteria4. Emodin is a component for hypotensive5. Oral use of its extract reduces the raio of serum cholesterol and total phospholipid in rabbits with hypercholesterolemia.6. Chrysophanol, an other active component, exerts a hemostatic effect.	itcm_h_885
886	欧洲桤木		TCMID_H_4204			OU ZHOU QI MU	Alnus glutinosa	Plant medicine	桦木科	Betulaceae														itcm_h_886
887	黑木耳		TCMID_H_6566			HEI MU ER	Auricularia auricula-judae	fungus medicine				平	Neutral	甘	Sweet	大肠，胃	Large Intestine,Stomach							itcm_h_887
888	紫穗槐		TCMID_H_2997			ZI SUI HUAI	Amorpha fruticosa	Plant medicine	豆科	Fabaceae								清热解毒，祛湿消肿。	To clear heat and resolve toxin, dispel damp and disperse swelling.			leaf	Welling abscess, burns and scalds, eczema.	itcm_h_888
889	红参	yc_132	TCMID_H_8051	SMHB00167	167	HONG SHEN	Panax ginseng C.A.Mey.	Plant medicine	五加科	Araliaceae		温	Warm	甘,苦	sweet,bitter	脾,肺,心,肾	Spleen, lung, heart, kidney	大补元气,复脉固脱,益气摄血。用于体虚欲脱,肢冷脉微,气不摄血,崩漏下血	To invigorate vitality, rejuvenate the pulse and solidify off, invigorate qi and ingest blood. Used for physical weakness, cold limbs, weak pulse, qi not ingesting blood, uterine bleeding					itcm_h_889
890	茶芎		TCMID_H_7396			CHA XIONG	Ligusticum sinense cv. chaxiong	Plant medicine	伞形科	Apiaceae														itcm_h_890
891	小黄牡蒿		TCMID_H_3185			XIAO HUAN MU HAO		Plant medicine																itcm_h_891
892	盾叶鬼臼		TCMID_H_4067			DUN YE GUI JIU	Podophyllum peltatum	Plant medicine	小檗科	Berberidaceae														itcm_h_892
893	杜仲叶	yc_93	TCMID_H_5621	SMHB00115	115	DU ZHONG YE	Eucommia ulmoides Oliv.	Plant medicine	杜仲科	Eucommiaceae		寒	Cold	甘,苦	sweet,bitter	肝,肾	Liver, kidney	补肝肾,强筋骨	Nourish liver and kidney, strengthen muscles and bones					itcm_h_893
894	蕹菜		TCMID_H_6929			WENG CAI	Ipomoea aquatica	Plant medicine	旋花科	Convolvulaceae								凉血清热，祛湿解毒。	To cool blood and clear heat, disinhibit damp and resolve toxin.			stem-leaf	Nosebleed(epistaxis), hematochezia, hematuria, constipation, strangury-turbidity, hemorrhoids, swollen welling abscess, fracture, snake or insect bites.	itcm_h_894
895	脾寒草		TCMID_H_2137			PI HAN CAO	Melilotus suaveolens	Plant medicine	豆科	Fabaceae								清热化湿，健胃和心。	To clear summerheat and transform damp, fortify stomach and harmonize center.			whole herb	Summerheat-damp and oppression in chest, distended head and headache, dysentery, malaria, strangury syndrome, vaginal discharge, mouth sore, bad breath, sores, damp sore, scab and lichen, scrofula.	itcm_h_895
896	冬虫夏草		TCMID_H_6269	SMHB00108	108	Dong Chong Xia Cao	Cordyceps	fungus medicine				平	Neutral	甘	Sweet	肺，肾	Lung,Kidney	补肺补肾，止血祛痰。	To tonify the lung and the kidney, arrest bleeding, and dispel phlegm.	Chinese Caterpillar Fungus	补阳药	a drug consisting of dried fungal stroma growing on larva of a caterpillar		itcm_h_896
897	广枣		TCMID_H_1671	SMHB00152	152	Guang Zao	Fructus Choerospondiatis	Plant medicine				寒	Cold	酸,	Sour,	脾，肝	Spleen,Liver	促进气血流动，补心安神。	To promote the flow of qi and blood, to replenish the heart and allay excitement.	fruit of Axillary choerospondias	活血祛瘀药			itcm_h_897
898	枸骨叶	yc_113		SMHB00142	142	GOU GU YE	Ilex cornuta Lindl. ex Paxt.	Plant medicine	冬青科	Aquifoliaceae		平	Neutral	苦	bitter	胃	stomach	降逆,止呃	Downgrade, stop uh					itcm_h_898
899	黄连芽		TCMID_H_2801			HUANG LIAN YA	Pistacia chinensis	Plant medicine	漆树科	Anacardiaceae								清热、生液、解毒、祛湿。	To clear summerheat, engender liquid, resolve toxin, disinhibit damp.			leaf and bud	Summerheat-heat thirst, swelling pain in throat, oral ulcer, vomiting and dysentery, strangury syndrome, innominate toxin swelling, sore and papules.	itcm_h_899
900	片姜黄		TCMID_H_7438			PIAN JIANG HUANG	Rhizoma Wenyujin Concisum	Plant medicine										治疗闭经、痛经所致的血瘀、胸痹、胁痹。	Treament of amenorrhea and dysmenorrhea due to blood stasis, pricking pain in the chest and hypochondriac regions arthralgia.					itcm_h_900
901	台湾千金藤		TCMID_H_7314			TAI WAN QIAN JIN TENG	Stephania sasakii	Plant medicine	防己科	Menispermaceae								缓解疼痛，促进呕吐。	To settle pain, promote vomiting.			rhizome	Tuberculosis, bronchitis, pertussis, chronic sores, poisonous snake bite, malaria.	itcm_h_901
902	木蝴蝶	yc_232	TCMID_H_1780	SMHB00289	289	MU HU DIE	Orozylum indicum (L.) Vent.	Plant medicine	紫葳科	Bignoniaceae		凉	Cool	苦,甘	bitter,sweet	肺,肝,胃	Lung, liver, stomach	清肺,利咽,疏肝,和胃	To clear the lungs, relieve the pharynx, soothe the liver, and stomach					itcm_h_902
903	芦荟	yc_206	TCMID_H_3683	SMHB00256	256	LU HUI	Euryale ferox Salisb.	Plant medicine	百合科	Liliaceae		寒	Cold	苦	bitter	肝,大肠	Liver, large intestine	杀虫,攻下,清肝	Kill insects, take down, clear liver					itcm_h_903
904	宽叶羌活		TCMID_H_5511			KUAN YE QIANG HUO	Notopterygium forbesii [Syn. Notopterygium franchetii]	Plant medicine	伞形科	Apiaceae								详见 Notopterygium incisum.	See  Notopterygium incisum.			rhizome or root	See  Notopterygium incisum.	itcm_h_904
905	醋柳果		TCMID_H_4298			CU LIU GUO	Hippophae rhamnoides	Plant medicine	胡颓子科	Elaeagnaceae								止咳化痰，健胃散食，活血化瘀。	To relieve cough and transform phlegm, fortify stomach and disperse food, quicken blood and dissipate stasis.			fruit	Cough with profuse phlegm, pulmonary welling abscess, indigestion, food accumulati on abdominal pain, stomachache, enteritis, amenorrhea, stasis swelling from knocks and falls.	itcm_h_905
906	山楂	yc_285	TCMID_H_3022			SHAN ZHA	Crataegus pinnatifida Bge. var.major N.E.Br.;Crataegus pinnatifida Bge.	Plant medicine	蔷薇科	Rosaceae		温	Warm	酸,甘	sour,sweet	脾,胃,肝	Spleen, stomach, liver	消食,健胃,行气,散瘀,化浊,降脂						itcm_h_906
907	黄药子		TCMID_H_4200	SMHB00189	189	Huang Yao Zi	Rhizoma Dioscoreae bulbiferae	Plant medicine	毛茛科	Ranunculaceae		寒	Cold	苦	Bitter	胃，肝	Stomach,Liver	化痰散结，解毒消肿。	To remove phlegm, disperse the lumps, detoxify and relieve swelling. 	rhizome of Airpotato Yam	化痰药	tuber		itcm_h_907
908	茅根		TCMID_H_6595			MAO GEN	Ranunculus japonicus	Plant medicine	毛茛科	Ranunculaceae		寒	Cold	甘	Sweet	肺、膀胱、胃	Lung,Bladder,Stomach	祛黄、平喘、止疟、止痛、消障。	To abate jaundice, settle asthma, interrupt malaria, settle pain, eliminate screen.			whole herb and root	Malaria, jaundice, migraine, stomachache, pain in joints due to rheumatalgia, crane’s knee wind, swollen welling abscess, malign sore, scab and lichen, toothache, fire eye.	itcm_h_908
909	继木		TCMID_H_5038			JI MU	Loropetalum chinense	Plant medicine	金缕梅科	Hamamelidaceae								清热止咳，活血止血。	To clear heat and relieve cough, promote contraction and stanch bleeding.			leaf or stem	Angina pectoris, senile bronchitis, indigestion, duodenal bleeding, uterine bleeding, lung heat cough, hemoptysis, spontaneous external bleeding, hematochezia, dysentery, diarrhea, flooding and spotting, infection of skin.	itcm_h_909
910	冬淩草		TCMID_H_2666			DONG LING CAO	Rabdosia rubescens	Plant medicine	唇形科	Lamiaceae								清热解毒，活血止痛，抗癌。	To clear heat and resolve toxin, quicken blood and relieve pain, anticancer.			whole herb	Swelling pain in throat, common cold with headache, trachitis, chronic hepatitis, pain in joints due to rheumatalgia, snake or insect bites, carcinoma of mammary glands, carcinoma of esophagus.	itcm_h_910
